frequency_hz,controller,L_real,L_imag
0.031952,filtered_pd,-4.366662e+00,-2.917431e+00
0.031952,avc,-4.398640e+00,-2.915109e+00
0.032248,standard_pd,-4.268484e+00,-2.890711e+00
0.032248,filtered_pd,-4.287127e+00,-2.890591e+00
0.032248,avc,-4.318350e+00,-2.888292e+00
0.032547,standard_pd,-4.190403e+00,-2.864118e+00
0.032547,filtered_pd,-4.209045e+00,-2.863997e+00
0.032547,avc,-4.239527e+00,-2.861720e+00
0.032849,standard_pd,-4.113748e+00,-2.837768e+00
0.032849,filtered_pd,-4.132390e+00,-2.837646e+00
0.032849,avc,-4.162144e+00,-2.835391e+00
0.033153,standard_pd,-4.038494e+00,-2.811660e+00
0.033153,filtered_pd,-4.057136e+00,-2.811536e+00
0.033153,avc,-4.086175e+00,-2.809304e+00
0.033460,standard_pd,-3.964614e+00,-2.785790e+00
0.033460,filtered_pd,-3.983256e+00,-2.785665e+00
0.033460,avc,-4.011593e+00,-2.783455e+00
0.033770,standard_pd,-3.892085e+00,-2.760157e+00
0.033770,filtered_pd,-3.910726e+00,-2.760031e+00
0.033770,avc,-3.938374e+00,-2.757843e+00
0.034083,standard_pd,-3.820880e+00,-2.734759e+00
0.034083,filtered_pd,-3.839521e+00,-2.734632e+00
0.034083,avc,-3.866493e+00,-2.732465e+00
0.034398,standard_pd,-3.750976e+00,-2.709593e+00
0.034398,filtered_pd,-3.769616e+00,-2.709465e+00
0.034398,avc,-3.795925e+00,-2.707319e+00
0.034717,standard_pd,-3.682350e+00,-2.684658e+00
0.034717,filtered_pd,-3.700989e+00,-2.684528e+00
0.034717,avc,-3.726647e+00,-2.682404e+00
0.035038,standard_pd,-3.614977e+00,-2.659950e+00
0.035038,filtered_pd,-3.633616e+00,-2.659820e+00
0.035038,avc,-3.658634e+00,-2.657716e+00
0.035363,standard_pd,-3.548835e+00,-2.635469e+00
0.035363,filtered_pd,-3.567474e+00,-2.635337e+00
0.035363,avc,-3.591863e+00,-2.633255e+00
0.035690,standard_pd,-3.483902e+00,-2.611212e+00
0.035690,filtered_pd,-3.502540e+00,-2.611079e+00
0.035690,avc,-3.526313e+00,-2.609017e+00
0.036021,standard_pd,-3.420154e+00,-2.587176e+00
0.036021,filtered_pd,-3.438792e+00,-2.587042e+00
0.036021,avc,-3.461960e+00,-2.585001e+00
0.036355,standard_pd,-3.357572e+00,-2.563361e+00
0.036355,filtered_pd,-3.376209e+00,-2.563225e+00
0.036355,avc,-3.398782e+00,-2.561204e+00
0.036691,standard_pd,-3.296133e+00,-2.539763e+00
0.036691,filtered_pd,-3.314769e+00,-2.539627e+00
0.036691,avc,-3.336759e+00,-2.537626e+00
0.037031,standard_pd,-3.235816e+00,-2.516382e+00
0.037031,filtered_pd,-3.254452e+00,-2.516244e+00
0.037031,avc,-3.275869e+00,-2.514263e+00
