frequency_hz,controller,L_real,L_imag
0.046202,standard_pd,-1.453005e+01,-7.552484e+00
0.046202,filtered_pd,-1.459545e+01,-1.132831e+01
0.046630,standard_pd,-1.426424e+01,-7.482998e+00
0.046630,filtered_pd,-1.432964e+01,-1.122408e+01
0.047062,standard_pd,-1.400329e+01,-7.414148e+00
0.047062,filtered_pd,-1.406869e+01,-1.112080e+01
0.047498,standard_pd,-1.374711e+01,-7.345929e+00
0.047498,filtered_pd,-1.381251e+01,-1.101847e+01
0.047938,standard_pd,-1.349561e+01,-7.278333e+00
0.047938,filtered_pd,-1.356101e+01,-1.091707e+01
0.048382,standard_pd,-1.324871e+01,-7.211357e+00
0.048382,filtered_pd,-1.331410e+01,-1.081660e+01
0.048830,standard_pd,-1.300631e+01,-7.144993e+00
0.048830,filtered_pd,-1.307170e+01,-1.071705e+01
0.049282,standard_pd,-1.276835e+01,-7.079237e+00
0.049282,filtered_pd,-1.283374e+01,-1.061841e+01
0.049739,standard_pd,-1.253473e+01,-7.014082e+00
0.049739,filtered_pd,-1.260011e+01,-1.052068e+01
0.050200,standard_pd,-1.230538e+01,-6.949523e+00
0.050200,filtered_pd,-1.237076e+01,-1.042383e+01
0.050665,standard_pd,-1.208022e+01,-6.885555e+00
0.050665,filtered_pd,-1.214560e+01,-1.032788e+01
0.051134,standard_pd,-1.185917e+01,-6.822172e+00
0.051134,filtered_pd,-1.192455e+01,-1.023280e+01
0.051607,standard_pd,-1.164216e+01,-6.759369e+00
0.051607,filtered_pd,-1.170754e+01,-1.013859e+01
0.052085,standard_pd,-1.142912e+01,-6.697141e+00
0.052085,filtered_pd,-1.149449e+01,-1.004524e+01
0.052568,standard_pd,-1.121996e+01,-6.635481e+00
0.052568,filtered_pd,-1.128534e+01,-9.952749e+00
0.053055,standard_pd,-1.101463e+01,-6.574386e+00
0.053055,filtered_pd,-1.108000e+01,-9.861101e+00
0.053546,standard_pd,-1.081305e+01,-6.513849e+00
0.053546,filtered_pd,-1.087842e+01,-9.770291e+00
0.054042,standard_pd,-1.061516e+01,-6.453865e+00
0.054042,filtered_pd,-1.068052e+01,-9.680312e+00
0.054543,standard_pd,-1.042087e+01,-6.394431e+00
0.054543,filtered_pd,-1.048624e+01,-9.591155e+00
0.055048,standard_pd,-1.023014e+01,-6.335539e+00
0.055048,filtered_pd,-1.029550e+01,-9.502814e+00
0.055558,standard_pd,-1.004289e+01,-6.277186e+00
0.055558,filtered_pd,-1.010825e+01,-9.415280e+00
0.056072,standard_pd,-9.859066e+00,-6.219367e+00
0.056072,filtered_pd,-9.924420e+00,-9.328546e+00
0.056592,standard_pd,-9.678597e+00,-6.162076e+00
0.056592,filtered_pd,-9.743948e+00,-9.242605e+00
0.057116,standard_pd,-9.501425e+00,-6.105309e+00
0.057116,filtered_pd,-9.566773e+00,-9.157449e+00
0.057645,standard_pd,-9.327490e+00,-6.049060e+00
0.057645,filtered_pd,-9.392835e+00,-9.073072e+00
0.058179,standard_pd,-9.156732e+00,-5.993326e+00
0.058179,filtered_pd,-9.222074e+00,-8.989465e+00
0.058718,standard_pd,-8.989094e+00,-5.938101e+00
0.058718,filtered_pd,-9.054433e+00,-8.906623e+00
0.059262,standard_pd,-8.824518e+00,-5.883380e+00
0.059262,filtered_pd,-8.889854e+00,-8.824537e+00
0.059810,standard_pd,-8.662949e+00,-5.829160e+00
0.059810,filtered_pd,-8.728281e+00,-8.743201e+00
0.060364,standard_pd,-8.504332e+00,-5.775434e+00
0.060364,filtered_pd,-8.569661e+00,-8.662608e+00
0.060923,standard_pd,-8.348612e+00,-5.722200e+00
0.060923,filtered_pd,-8.413937e+00,-8.582751e+00
0.061488,standard_pd,-8.195737e+00,-5.669452e+00
0.061488,filtered_pd,-8.261059e+00,-8.503624e+00
0.062057,standard_pd,-8.045655e+00,-5.617185e+00
0.062057,filtered_pd,-8.110973e+00,-8.425219e+00
0.062632,standard_pd,-7.898314e+00,-5.565396e+00
0.062632,filtered_pd,-7.963629e+00,-8.347530e+00
0.063212,standard_pd,-7.753665e+00,-5.514079e+00
0.063212,filtered_pd,-7.818976e+00,-8.270550e+00
0.063798,standard_pd,-7.611659e+00,-5.463232e+00
0.063798,filtered_pd,-7.676966e+00,-8.194273e+00
0.064389,standard_pd,-7.472246e+00,-5.412848e+00
0.064389,filtered_pd,-7.537550e+00,-8.118693e+00
0.064985,standard_pd,-7.335381e+00,-5.362924e+00
0.064985,filtered_pd,-7.400680e+00,-8.043802e+00
0.065587,standard_pd,-7.201015e+00,-5.313456e+00
0.065587,filtered_pd,-7.266311e+00,-7.969594e+00
0.066194,standard_pd,-7.069105e+00,-5.264440e+00
0.066194,filtered_pd,-7.134396e+00,-7.896064e+00
0.066807,standard_pd,-6.939604e+00,-5.215870e+00
0.066807,filtered_pd,-7.004891e+00,-7.823204e+00
0.067426,standard_pd,-6.812468e+00,-5.167744e+00
0.067426,filtered_pd,-6.877751e+00,-7.751009e+00
0.068051,standard_pd,-6.687655e+00,-5.120057e+00
0.068051,filtered_pd,-6.752934e+00,-7.679473e+00
0.068681,standard_pd,-6.565122e+00,-5.072805e+00
0.068681,filtered_pd,-6.630397e+00,-7.608589e+00
0.069317,standard_pd,-6.444827e+00,-5.025984e+00
0.069317,filtered_pd,-6.510098e+00,-7.538352e+00
0.069959,standard_pd,-6.326730e+00,-4.979589e+00
0.069959,filtered_pd,-6.391996e+00,-7.468755e+00
0.070607,standard_pd,-6.210790e+00,-4.933618e+00
0.070607,filtered_pd,-6.276051e+00,-7.399792e+00
0.071261,standard_pd,-6.096968e+00,-4.888066e+00
0.071261,filtered_pd,-6.162224e+00,-7.331458e+00
0.071921,standard_pd,-5.985225e+00,-4.842929e+00
0.071921,filtered_pd,-6.050476e+00,-7.263747e+00
0.072587,standard_pd,-5.875523e+00,-4.798204e+00
0.072587,filtered_pd,-5.940770e+00,-7.196652e+00
0.073260,standard_pd,-5.767825e+00,-4.753886e+00
0.073260,filtered_pd,-5.833066e+00,-7.130169e+00
0.073938,standard_pd,-5.662094e+00,-4.709972e+00
0.073938,filtered_pd,-5.727331e+00,-7.064292e+00
0.074623,standard_pd,-5.558295e+00,-4.666458e+00
0.074623,filtered_pd,-5.623526e+00,-6.999015e+00
0.075314,standard_pd,-5.456391e+00,-4.623340e+00
0.075314,filtered_pd,-5.521617e+00,-6.934332e+00
0.076012,standard_pd,-5.356349e+00,-4.580615e+00
0.076012,filtered_pd,-5.421569e+00,-6.870238e+00
0.076716,standard_pd,-5.258134e+00,-4.538279e+00
