time_s,method,displacement_m
7.250000,unshaped,6.086868e-03
7.260000,unshaped,6.022263e-03
7.270000,unshaped,5.952802e-03
7.280000,unshaped,5.878840e-03
7.290000,unshaped,5.800742e-03
7.300000,unshaped,5.718873e-03
7.310000,unshaped,5.633602e-03
7.320000,unshaped,5.545293e-03
7.330000,unshaped,5.454310e-03
7.340000,unshaped,5.361006e-03
7.350000,unshaped,5.265728e-03
7.360000,unshaped,5.168808e-03
7.370000,unshaped,5.070566e-03
7.380000,unshaped,4.971307e-03
7.390000,unshaped,4.871316e-03
7.400000,unshaped,4.770859e-03
7.410000,unshaped,4.670180e-03
7.420000,unshaped,4.569500e-03
7.430000,unshaped,4.469017e-03
7.440000,unshaped,4.368903e-03
7.450000,unshaped,4.269304e-03
7.460000,unshaped,4.170339e-03
7.470000,unshaped,4.072100e-03
7.480000,unshaped,3.974652e-03
7.490000,unshaped,3.878034e-03
7.500000,unshaped,3.782256e-03
7.510000,unshaped,3.687304e-03
7.520000,unshaped,3.593136e-03
