frequency_hz,controller,S_mag_db,T_mag_db
0.083353,filtered_pd,-17.1230,0.6288
0.084125,standard_pd,-14.5417,1.0447
0.084125,filtered_pd,-17.0129,0.6316
0.084904,standard_pd,-14.4101,1.0535
0.084904,filtered_pd,-16.9032,0.6344
0.085691,standard_pd,-14.2790,1.0621
0.085691,filtered_pd,-16.7939,0.6370
0.086484,standard_pd,-14.1483,1.0706
0.086484,filtered_pd,-16.6850,0.6397
0.087285,standard_pd,-14.0180,1.0791
0.087285,filtered_pd,-16.5764,0.6422
0.088094,standard_pd,-13.8882,1.0875
0.088094,filtered_pd,-16.4682,0.6447
0.088910,standard_pd,-13.7589,1.0957
0.088910,filtered_pd,-16.3604,0.6471
0.089733,standard_pd,-13.6300,1.1039
0.089733,filtered_pd,-16.2530,0.6494
0.090564,standard_pd,-13.5015,1.1120
0.090564,filtered_pd,-16.1459,0.6516
0.091403,standard_pd,-13.3736,1.1199
0.091403,filtered_pd,-16.0392,0.6538
0.092250,standard_pd,-13.2461,1.1277
0.092250,filtered_pd,-15.9328,0.6559
0.093104,standard_pd,-13.1191,1.1354
0.093104,filtered_pd,-15.8268,0.6579
0.093966,standard_pd,-12.9926,1.1429
0.093966,filtered_pd,-15.7212,0.6599
0.094837,standard_pd,-12.8665,1.1503
0.094837,filtered_pd,-15.6160,0.6617
0.095715,standard_pd,-12.7410,1.1576
0.095715,filtered_pd,-15.5111,0.6635
0.096602,standard_pd,-12.6160,1.1647
0.096602,filtered_pd,-15.4065,0.6652
0.097496,standard_pd,-12.4915,1.1716
0.097496,filtered_pd,-15.3024,0.6668
0.098400,standard_pd,-12.3674,1.1784
0.098400,filtered_pd,-15.1985,0.6683
0.099311,standard_pd,-12.2439,1.1850
0.099311,filtered_pd,-15.0951,0.6697
0.100231,standard_pd,-12.1210,1.1915
0.100231,filtered_pd,-14.9920,0.6711
0.101159,standard_pd,-11.9985,1.1977
0.101159,filtered_pd,-14.8892,0.6723
0.102096,standard_pd,-11.8766,1.2038
0.102096,filtered_pd,-14.7868,0.6735
0.103042,standard_pd,-11.7552,1.2096
0.103042,filtered_pd,-14.6847,0.6745
0.103996,standard_pd,-11.6343,1.2153
0.103996,filtered_pd,-14.5830,0.6755
0.104959,standard_pd,-11.5140,1.2207
0.104959,filtered_pd,-14.4816,0.6763
0.105931,standard_pd,-11.3943,1.2260
0.105931,filtered_pd,-14.3806,0.6771
0.106913,standard_pd,-11.2751,1.2310
0.106913,filtered_pd,-14.2799,0.6778
0.107903,standard_pd,-11.1565,1.2358
0.107903,filtered_pd,-14.1795,0.6784
0.108902,standard_pd,-11.0384,1.2403
0.108902,filtered_pd,-14.0795,0.6788
0.109911,standard_pd,-10.9209,1.2446
0.109911,filtered_pd,-13.9798,0.6792
0.110929,standard_pd,-10.8040,1.2487
0.110929,filtered_pd,-13.8805,0.6794
0.111956,standard_pd,-10.6876,1.2525
0.111956,filtered_pd,-13.7814,0.6796
0.112993,standard_pd,-10.5719,1.2560
0.112993,filtered_pd,-13.6828,0.6796
0.114040,standard_pd,-10.4567,1.2593
0.114040,filtered_pd,-13.5844,0.6796
0.115096,standard_pd,-10.3421,1.2623
0.115096,filtered_pd,-13.4864,0.6794
0.116162,standard_pd,-10.2281,1.2650
0.116162,filtered_pd,-13.3886,0.6791
0.117238,standard_pd,-10.1148,1.2674
0.117238,filtered_pd,-13.2912,0.6787
0.118324,standard_pd,-10.0020,1.2696
0.118324,filtered_pd,-13.1942,0.6782
0.119420,standard_pd,-9.8898,1.2714
0.119420,filtered_pd,-13.0974,0.6776
0.120526,standard_pd,-9.7783,1.2729
0.120526,filtered_pd,-13.0010,0.6768
0.121642,standard_pd,-9.6674,1.2741
