factor,sample_index,factor_value,combo,rms_vibration_mm,rms_pointing_error_deg,peak_torque_nm,rms_torque_nm,pointing_band_rms_deg,vibration_band_rms_mm,pointing_psd_at_f0_db,vibration_psd_at_f0_db
sensor_noise_frequency_hz,34,9.09558,unshaped_standard_pd,0.552939,0.0191179,20.5669,8.28875,8.9255e-05,0.00638544,-73.7697,-98.3299
sensor_noise_frequency_hz,34,9.09558,unshaped_filtered_pd,0.497888,0.017023,20.5854,8.15171,8.01177e-05,0.0057995,-74.293,-98.5521
sensor_noise_frequency_hz,34,9.09558,fourth_standard_pd,0.0519563,0.00136651,21.7498,8.8808,7.84962e-05,0.00517872,-73.3576,-98.329
sensor_noise_frequency_hz,34,9.09558,fourth_filtered_pd,0.0495324,0.00108979,21.2752,8.74662,7.13614e-05,0.00471169,-74.5218,-99.2423
sensor_noise_frequency_hz,35,3.3896,unshaped_standard_pd,0.552628,0.0191743,20.2769,8.29129,0.000539142,0.0420064,-55.3869,-78.8239
sensor_noise_frequency_hz,35,3.3896,unshaped_filtered_pd,0.498268,0.0171621,22.5621,9.0658,0.000715999,0.0532709,-52.7154,-76.5264
sensor_noise_frequency_hz,35,3.3896,fourth_standard_pd,0.0628661,0.00202489,21.7471,8.87252,0.00049224,0.0326425,-55.7297,-80.5847
sensor_noise_frequency_hz,35,3.3896,fourth_filtered_pd,0.073524,0.00240296,23.8592,9.59478,0.000679551,0.046636,-53.1993,-77.5049
sensor_noise_frequency_hz,36,11.1419,unshaped_standard_pd,0.552937,0.019118,20.3885,8.29525,6.14567e-05,0.00444043,-76.745,-101.234
sensor_noise_frequency_hz,36,11.1419,unshaped_filtered_pd,0.497884,0.0170224,19.9207,7.99048,4.79893e-05,0.00366002,-78.6618,-103.773
sensor_noise_frequency_hz,36,11.1419,fourth_standard_pd,0.0519392,0.00135946,21.7665,8.88117,5.39914e-05,0.00353033,-76.4635,-101.817
sensor_noise_frequency_hz,36,11.1419,fourth_filtered_pd,0.0495069,0.00108167,20.6228,8.59259,4.34504e-05,0.0027871,-78.5842,-103.977
sensor_noise_frequency_hz,37,45.1038,unshaped_standard_pd,0.552971,0.0191191,20.4912,8.29481,1.26524e-06,0.000178641,-110.809,-136.026
sensor_noise_frequency_hz,37,45.1038,unshaped_filtered_pd,0.497917,0.0170222,17.4885,7.55671,3.80677e-07,0.000118308,-120.945,-137.066
sensor_noise_frequency_hz,37,45.1038,fourth_standard_pd,0.0520101,0.00135381,21.7875,8.88184,1.29989e-06,8.15988e-05,-108.808,-136.099
sensor_noise_frequency_hz,37,45.1038,fourth_filtered_pd,0.049629,0.00107678,18.2016,8.19229,3.96049e-07,2.49384e-05,-119.353,-146.506
sensor_noise_frequency_hz,38,1.35395,unshaped_standard_pd,0.744491,0.0283018,18.7721,8.16591,0.00145822,0.190132,-46.3036,-63.8225
sensor_noise_frequency_hz,38,1.35395,unshaped_filtered_pd,0.912539,0.0337812,20.8388,8.78781,0.00168659,0.225046,-44.1658,-62.4564
sensor_noise_frequency_hz,38,1.35395,fourth_standard_pd,0.626084,0.0208626,21.4325,8.76608,0.00147511,0.141073,-46.13,-67.1358
sensor_noise_frequency_hz,38,1.35395,fourth_filtered_pd,0.87951,0.0291361,23.2837,9.3427,0.00171907,0.193245,-44.0336,-64.4186
sensor_noise_frequency_hz,39,2.44818,unshaped_standard_pd,0.558275,0.0194352,20.501,8.27674,0.00113852,0.0835511,-48.3812,-72.6834
